purpose,model,quantile_level,empirical_coverage,ci_lower,ci_upper,bootstrap_resamples,random_seed
final_test,arima_sarima,0.9,0.852,0.82,0.882,2000,2026
final_test,arima_sarima,0.95,0.924,0.9,0.946,2000,2026
final_test,arima_sarima,0.99,0.982,0.97,0.992,2000,2026
final_test,ets,0.9,0.872,0.844,0.9,2000,2026
final_test,ets,0.95,0.93,0.908,0.952,2000,2026
final_test,ets,0.99,0.978,0.964,0.99,2000,2026
final_test,seasonal_naive,0.9,0.86,0.828,0.888,2000,2026
final_test,seasonal_naive,0.95,0.922,0.898,0.944,2000,2026
final_test,seasonal_naive,0.99,0.972,0.956,0.9840499999999998,2000,2026
final_test,tirex2,0.9,0.876,0.848,0.904,2000,2026
final_test,tirex2,0.95,0.932,0.908,0.952,2000,2026
final_test,tirex2,0.99,0.99,0.98,0.998,2000,2026
final_test,xgboost,0.9,0.892,0.864,0.918,2000,2026
final_test,xgboost,0.95,0.938,0.916,0.96,2000,2026
final_test,xgboost,0.99,0.988,0.978,0.996,2000,2026
validation,arima_sarima,0.9,0.8966666666666666,0.8806666666666666,0.9120166666666666,2000,2026
validation,arima_sarima,0.95,0.9486666666666668,0.9366666666666668,0.9606666666666667,2000,2026
validation,arima_sarima,0.99,0.988,0.982,0.9933333333333333,2000,2026
validation,ets,0.9,0.8913333333333333,0.8753333333333333,0.9073333333333332,2000,2026
validation,ets,0.95,0.9426666666666667,0.9293333333333333,0.9546666666666667,2000,2026
validation,ets,0.99,0.9886666666666667,0.9826666666666667,0.994,2000,2026
validation,seasonal_naive,0.9,0.8966666666666666,0.8806666666666665,0.9113333333333332,2000,2026
validation,seasonal_naive,0.95,0.9506666666666667,0.9393333333333332,0.9613333333333333,2000,2026
validation,seasonal_naive,0.99,0.9866666666666667,0.9793333333333333,0.9926666666666666,2000,2026
validation,tirex2,0.9,0.898,0.88,0.916,2000,2026
validation,tirex2,0.95,0.9506666666666667,0.9373333333333332,0.9633333333333333,2000,2026
validation,tirex2,0.99,0.988,0.982,0.9933333333333333,2000,2026
validation,xgboost,0.9,0.904,0.8873333333333333,0.9193333333333332,2000,2026
validation,xgboost,0.95,0.9553333333333333,0.9446666666666665,0.9660166666666665,2000,2026
validation,xgboost,0.99,0.99,0.9846666666666667,0.9946666666666667,2000,2026
