id,item_id,store_id,state_id,cat_id,dept_id,demand_pattern
FOODS_3_404_CA_1_evaluation,FOODS_3_404,CA_1,CA,FOODS,FOODS_3,Erratic
FOODS_3_474_CA_1_evaluation,FOODS_3_474,CA_1,CA,FOODS,FOODS_3,Erratic
FOODS_1_058_WI_2_evaluation,FOODS_1_058,WI_2,WI,FOODS,FOODS_1,Erratic
HOUSEHOLD_1_409_TX_2_evaluation,HOUSEHOLD_1_409,TX_2,TX,HOUSEHOLD,HOUSEHOLD_1,Erratic
FOODS_3_462_WI_3_evaluation,FOODS_3_462,WI_3,WI,FOODS,FOODS_3,Erratic
HOBBIES_1_348_CA_1_evaluation,HOBBIES_1_348,CA_1,CA,HOBBIES,HOBBIES_1,Erratic
HOUSEHOLD_1_389_WI_2_evaluation,HOUSEHOLD_1_389,WI_2,WI,HOUSEHOLD,HOUSEHOLD_1,Erratic
HOUSEHOLD_1_173_TX_3_evaluation,HOUSEHOLD_1_173,TX_3,TX,HOUSEHOLD,HOUSEHOLD_1,Erratic
FOODS_3_681_TX_2_evaluation,FOODS_3_681,TX_2,TX,FOODS,FOODS_3,Erratic
FOODS_3_319_WI_1_evaluation,FOODS_3_319,WI_1,WI,FOODS,FOODS_3,Erratic
FOODS_3_142_CA_3_evaluation,FOODS_3_142,CA_3,CA,FOODS,FOODS_3,Erratic
FOODS_2_074_CA_3_evaluation,FOODS_2_074,CA_3,CA,FOODS,FOODS_2,Erratic
FOODS_1_184_WI_1_evaluation,FOODS_1_184,WI_1,WI,FOODS,FOODS_1,Erratic
FOODS_3_406_CA_1_evaluation,FOODS_3_406,CA_1,CA,FOODS,FOODS_3,Erratic
FOODS_3_116_CA_3_evaluation,FOODS_3_116,CA_3,CA,FOODS,FOODS_3,Erratic
FOODS_1_018_WI_1_evaluation,FOODS_1_018,WI_1,WI,FOODS,FOODS_1,Erratic
FOODS_3_573_CA_3_evaluation,FOODS_3_573,CA_3,CA,FOODS,FOODS_3,Erratic
FOODS_3_607_TX_3_evaluation,FOODS_3_607,TX_3,TX,FOODS,FOODS_3,Erratic
HOUSEHOLD_1_351_TX_2_evaluation,HOUSEHOLD_1_351,TX_2,TX,HOUSEHOLD,HOUSEHOLD_1,Erratic
FOODS_2_364_WI_3_evaluation,FOODS_2_364,WI_3,WI,FOODS,FOODS_2,Erratic
FOODS_3_042_CA_4_evaluation,FOODS_3_042,CA_4,CA,FOODS,FOODS_3,Erratic
FOODS_3_462_WI_1_evaluation,FOODS_3_462,WI_1,WI,FOODS,FOODS_3,Erratic
FOODS_3_652_CA_2_evaluation,FOODS_3_652,CA_2,CA,FOODS,FOODS_3,Erratic
HOBBIES_1_090_CA_3_evaluation,HOBBIES_1_090,CA_3,CA,HOBBIES,HOBBIES_1,Erratic
