purpose,quantile_level,strict_coverage_p_y_less_than_q,weak_coverage_p_y_less_or_equal_q,weak_coverage_ci_lower,weak_coverage_ci_upper,nominal_within_discrete_quantile_band,actual_zero_share,bootstrap_resamples,random_seed
final_test,0.1,0.0495,0.3642142857142857,0.3439285714285715,0.3847857142857143,True,0.35228571428571426,2000,2026
final_test,0.2,0.14035714285714287,0.3958571428571429,0.37649642857142857,0.4155,True,0.35228571428571426,2000,2026
final_test,0.3,0.23657142857142854,0.44157142857142856,0.42292678571428566,0.46114285714285713,True,0.35228571428571426,2000,2026
final_test,0.4,0.36507142857142855,0.49564285714285716,0.47800000000000004,0.5142874999999999,True,0.35228571428571426,2000,2026
final_test,0.5,0.4999285714285714,0.5562857142857143,0.5404267857142857,0.5735714285714285,True,0.35228571428571426,2000,2026
final_test,0.6000000000000001,0.6111428571428571,0.6284285714285713,0.6132821428571428,0.643430357142857,False,0.35228571428571426,2000,2026
final_test,0.7000000000000001,0.7017857142857143,0.7057857142857143,0.6916410714285715,0.7195714285714285,False,0.35228571428571426,2000,2026
final_test,0.8,0.7863571428571429,0.7863571428571429,0.7733553571428572,0.7984285714285715,False,0.35228571428571426,2000,2026
final_test,0.9,0.8804285714285714,0.8804285714285714,0.8692125,0.8911446428571428,False,0.35228571428571426,2000,2026
validation,0.1,0.060785714285714276,0.3932380952380952,0.3727857142857143,0.4136684523809524,True,0.3815,2000,2026
validation,0.2,0.14747619047619048,0.4200238095238095,0.4000708333333333,0.43961964285714283,True,0.3815,2000,2026
validation,0.3,0.24771428571428572,0.4611666666666666,0.44221011904761903,0.4791482142857143,True,0.3815,2000,2026
validation,0.4,0.3761190476190476,0.5100952380952382,0.4931660714285714,0.5267166666666667,True,0.3815,2000,2026
validation,0.5,0.516452380952381,0.5722142857142858,0.5576160714285715,0.5873333333333333,False,0.3815,2000,2026
validation,0.6000000000000001,0.629452380952381,0.6464285714285715,0.6340940476190475,0.6586446428571427,False,0.3815,2000,2026
validation,0.7000000000000001,0.7175238095238096,0.7237142857142856,0.7138095238095239,0.733452380952381,False,0.3815,2000,2026
validation,0.8,0.8038333333333334,0.805,0.7974755952380953,0.8123583333333334,False,0.3815,2000,2026
validation,0.9,0.8982380952380952,0.8983095238095238,0.8928803571428571,0.9033815476190477,False,0.3815,2000,2026
