purpose,quantile_level,original_pinball_loss,rearranged_pinball_loss,original_coverage,rearranged_coverage,pinball_loss_change,coverage_change
final_test,0.1,0.30661777580071936,0.30661295280020323,0.3642142857142857,0.3642142857142857,-4.823000516129827e-06,0.0
final_test,0.2,0.5450917116089724,0.5450884343712591,0.39585714285714285,0.39585714285714285,-3.277237713317227e-06,0.0
final_test,0.3,0.7303992612284896,0.7304017209437825,0.44157142857142856,0.44157142857142856,2.459715292890685e-06,0.0
final_test,0.4,0.865834447484688,0.8658329356734317,0.49564285714285716,0.49564285714285716,-1.51181125629396e-06,0.0
final_test,0.5,0.9500144263760054,0.950000135998495,0.5562857142857143,0.5562857142857143,-1.4290377510439711e-05,0.0
final_test,0.6000000000000001,0.9825391261274824,0.9825401889356321,0.6284285714285714,0.6284285714285714,1.0628081497099373e-06,0.0
final_test,0.7000000000000001,0.9561030324151877,0.9561089560487084,0.7057857142857142,0.7057857142857142,5.923633520699134e-06,0.0
final_test,0.8,0.8515501792639235,0.8515494926882483,0.7863571428571429,0.7863571428571429,-6.865756752016949e-07,0.0
final_test,0.9,0.6250035770169184,0.6250035770169184,0.8804285714285714,0.8804285714285714,0.0,0.0
validation,0.1,0.3038158006914237,0.3038121110266884,0.3932380952380952,0.3932380952380952,-3.68966473529575e-06,0.0
validation,0.2,0.5404391842084189,0.5404377618714203,0.4200238095238095,0.4200238095238095,-1.4223369985133516e-06,0.0
validation,0.3,0.7237160982785731,0.7237160703243475,0.46116666666666667,0.46116666666666667,-2.7954225600979044e-08,0.0
validation,0.4,0.8578233251053293,0.8578190244002033,0.510095238095238,0.510095238095238,-4.300705126025761e-06,0.0
validation,0.5,0.9412042959533145,0.9411912026515878,0.5722142857142857,0.5722142857142857,-1.309330172660772e-05,0.0
validation,0.6000000000000001,0.9715558698320577,0.9715570278955288,0.6464285714285715,0.6464285714285715,1.1580634711183535e-06,0.0
validation,0.7000000000000001,0.9403612139019161,0.940368305408291,0.7237142857142858,0.7237142857142858,7.09150637490108e-06,0.0
validation,0.8,0.82638117819489,0.8263811880873257,0.805,0.805,9.892435759439877e-09,0.0
validation,0.9,0.5856023768202722,0.5856023768202723,0.8983095238095238,0.8983095238095238,1.1102230246251565e-16,0.0
